user_id,credit_score,location_category
183398dd-75fa-44c5-8b45-2899f4cc6e76,417,2
c2fc1612-6a11-448b-bed1-9c407ea874dc,813,5
5e05da6b-4e60-4d01-af87-12d7f5fe9fca,799,3
662cc35e-00fd-4ab4-9270-9769c100a059,681,5
eb6ece88-97ff-4222-a25c-a39d6f8fc608,783,4
9ba33a49-da0f-40d9-8634-618ecf845bf9,691,1
b6ee67fb-cb88-46e7-b7ec-73bb4c3f4a48,740,3
7c51c754-970b-4a28-9290-4444c7525c5e,356,3
4bb915a0-9acc-4b2e-91fc-6430499e8ef5,678,5
62b7a4ca-78cd-4ea9-b787-459c506c14e9,765,2
e745e792-d557-46b8-a510-e81f7e2ecfad,800,4
dee95e79-1290-4f58-a0f9-df78e820532b,615,4
aa97dced-11e6-41b4-b467-f8e4d3f94d4b,428,1
499fa5e0-2c17-4bd7-9f70-1e4751d93b56,410,4
75c856f0-d220-4aeb-a4df-7c6dca608655,776,5
22c35766-4792-4237-9ad4-d53616ab9d23,472,4
78ffd1e5-73af-425e-a98d-f12c1c126354,348,4
2a333ec6-aca7-47f3-beae-3de66fcf5e1b,587,2
bebe2d04-6270-4352-bed9-7b77fd57185b,791,2
42505eab-f63b-4121-83f5-238a99609137,777,2
029df069-eff7-4507-9acb-8100e773752b,311,4
68d0f60e-d1fd-4816-b0b3-11c4426c5103,397,3
0565ee47-ddfe-4bb2-b930-bab80f3d3c70,603,2
a7f7b8f3-b9cf-43d9-86ea-e075bbe91141,686,1
0ff45b1e-b175-4a46-8519-0c070b8d2a7e,324,5
6a140d27-6690-4a01-a40c-c84742cde7db,757,3
40beadce-82d6-4164-b204-4b2f24ea08dd,313,3
769ef145-64a1-45d5-bcc4-ddb676ba0975,600,5
11b0bfe3-655c-48db-8786-002e7e0b0735,466,3
0de88106-4b47-442b-ad10-41514dd49450,595,1
4650f2d9-b15b-4731-9709-7403b3f3aeef,609,1
878b1b25-b57a-4fa1-ae84-691d87b0f360,596,5
eff5b916-cdc3-45be-86ed-70a9ee343690,367,4
145996f8-5a5f-431c-8b33-9bf7a44bbd6b,849,3
54fb3ee8-b171-44be-b648-d93077d7ab14,625,3
deae8f06-28e8-49e3-b9e3-e4ba5eb2de40,685,2
678aef22-3ee4-4a35-a1d5-952dbfebe188,521,5
78cd1a83-4d98-442a-b773-46318acd1826,836,3
27a56a4b-f50f-4466-b6d7-1d00420935ce,427,5
6a9b49c7-0794-44e6-9d4b-816d2369418e,459,3
9183c902-c349-4126-984b-56875c562522,589,3
40619046-278e-4c7e-8cd5-6464da529d16,500,4
f92b179b-e4e2-4730-8027-2b152e0c0c40,348,5
7b1f835f-1efd-4f49-9360-1f66623c0219,795,5
316f2cb5-3cac-4de6-ad2d-4221afebbf48,637,5
b1b45e75-acf2-440b-b0bb-ede2de700389,465,5
006bbb9f-ad4b-48e7-8ae7-d9a18146343c,751,2
e7bc249f-8ca4-4593-b5e8-20ea01c6ea05,634,1
ba4f440e-eb5d-45ef-9463-79217ddcd030,790,3
f8ff52f4-bae0-4583-ada7-a372c901903c,650,2
65b45942-3c73-468f-832a-a322de2883fb,850,3
d6a08933-c58c-480c-a053-02779cd19f3d,701,4
8dadf94b-eefd-4df0-b8c5-84586d8fdadf,372,1
b482fae5-7d8b-46d5-b57f-4e8a7a1697ad,390,1
55d35c77-0c2f-4ebe-b8f8-9b9d8d1b6552,680,4
03f709a5-2998-4c2e-922c-14f85b077f6b,442,1
131659a4-ff0f-4ff2-8fb8-b6df0b399102,740,1
6e1cbde2-bda3-48ba-b29e-b2ba67d2357f,716,4
44a3c252-5101-40d2-b6f5-1d542cc4b7e8,831,1
49316da7-be1c-46c5-ad67-97366e7718f2,414,5
e44c46b1-2704-4db7-9fcf-05cb5e5835db,657,2
c442ba9d-9f4c-4b44-8ea8-551c2d2c85cb,809,5
52088edc-3c53-47b1-95ee-8f7e823b463a,654,5
8bde1fdf-2786-4a14-9b9e-4b8db46175ad,653,5
45a12ff5-f269-443e-9396-e0696d008c46,420,3
f28afa33-6e8d-47c3-b664-1fcc144fb5d8,653,1
81bd4548-2fb4-4ba5-a876-2807fc403722,536,2
404c99e2-809c-491b-9317-4b98f6f7b625,691,1
f3659c15-c412-41a5-a813-492ff157f16d,318,5
c0b19d08-6f1d-47dd-96c2-e45626084cab,458,4
d324bb10-9d0c-422d-b0c1-87f3ba4014d9,615,2
abe6481c-e4fd-4ecb-af4f-f5acc590898d,577,2
3b1fa529-8dd8-41ac-bcdb-57c83d64a3bc,714,2
492556c3-d8b4-41c5-95b3-2fb08b168343,679,2
b8a77796-b867-4fc0-86fd-357fa259608f,426,2
673d6e2d-2535-4ae4-9a80-cbabbcc2a993,703,5
f6ccb490-715c-404d-8fc2-17693f8ea46c,776,4
b19af47b-2403-4b43-b6b4-8c3b66f258bd,789,1
3a37466a-f972-4971-8bc8-c8be4e42b728,473,4
2f67e9de-975b-40c5-8c8a-a1e2b388386b,823,1
b50379dd-260b-4631-8a74-2795c1a820d2,558,1
1eb562c5-8167-48b0-b1a1-78425e036992,620,4
63d825ff-f8f4-48f4-bfd1-2ea58ed145b3,645,2
eedb6725-81c0-4520-a100-70fc4ec2f819,530,4
b61776fc-75ae-4f9c-9844-47cc1d0daec0,660,3
2deb97ce-6943-4233-a6ca-e8ac9d20179b,481,3
6d748c3c-f9e6-449c-99bc-37ecf0743c46,393,1
b77b91be-04b8-4cd9-8161-b9a7026d3d94,687,1
a86b8203-571d-463f-b456-c2c4e3207a30,605,2
1269dcb7-a4be-4ce3-9638-49a0fa491ce1,539,1
